Authors,Title,Year,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Affiliations,Authors with affiliations,Abstract,Author Keywords,Publisher
"Kanchana M., Chadda V., Jain H.","Credit card fraud detection",2020,"29","6",,"2201","2215",,,"Department of Computer Science Engineering, SRM Institute of Science and Technology, Kattankulathur, Chennai, India","Kanchana, M., Department of Computer Science Engineering, SRM Institute of Science and Technology, Kattankulathur, Chennai, India; Chadda, V., Department of Computer Science Engineering, SRM Institute of Science and Technology, Kattankulathur, Chennai, India; Jain, H., Department of Computer Science Engineering, SRM Institute of Science and Technology, Kattankulathur, Chennai, India","Plastic money is fast replacing currency notes. This has led to cashless travels, which is very convenient. Despite all the merits of such money transactions, there are some demerits also leading to money loss through fraud. Fraud in credit card is increasing manifold. Such frauds are serious issues currently in the industry and cause huge damage. are costly, time-consuming, and labor-intensive tasks. Consumers and financial companies pay very high cost amounting to billions of dollars yearly due to frauds, and fraudsters are on the go to find newer ways and techniques to commit unlawful actions, continuously. Definition of credit card can be given by the physical loss of credit card or loss of sensitive credit card information. As these frauds are increasing very fast we need efficient methods like Machine Learning and Artificial Intelligence techniques to tackle them. Various challenges include unpublished literature and an imbalance classification. Here, in paper we suggest to add a new module of face recognition and detection as a confirmatory test in case of doubtful transactions. Fraud detection are combination of number activities performed to avoid money from being stollen or taken by illegal or untrue instances. In banking, fraud activities involve forging of cheques or misusing robbed or stollen credit cards. In the paper, the focus is on frauds of credit card and to understand how classifier algorithms are performing. We would be considering sampling the data using various algorithms and performing a comparative analysis on the results of classifiers post sampling. Resultant, we hope to retrieve a classification algorithm working best with a particular sampling methodology dependent on the dataset and parameters provided. Lastly, addition of a face recognition model is performed to act as a confirmatory test in case of fraud detection by the classifier. © 2020 SERSC.","Class imbalance; Classification algorithms; Face recognition; Fraud","Science and Engineering Research Support Society"
"Priya S., Agarwal S., Thakur P., Uthra A.","Ensemble based classification for class imbalanced credit card fraudulent data",2020,"29","6",,"2129","2141",,,"Department of Computer Science and Engineering, SRM Institute of Science and Technology, Kattankulathur, India","Priya, S., Department of Computer Science and Engineering, SRM Institute of Science and Technology, Kattankulathur, India; Agarwal, S., Department of Computer Science and Engineering, SRM Institute of Science and Technology, Kattankulathur, India; Thakur, P., Department of Computer Science and Engineering, SRM Institute of Science and Technology, Kattankulathur, India; Uthra, A., Department of Computer Science and Engineering, SRM Institute of Science and Technology, Kattankulathur, India","Knowledge extraction from imbalanced data has been receiving increasing interest in recent years. Most of the real world problems including credit card transaction frauds, disease prediction and so on have huge data instances but the number of positive instances in those datasets is far lesser than the number of negative instances. Suppose 99% of the data tuples come from the majority class but only 1% of the instances are from the minority class, and our classifier classifies each data tuple as majority instance, then the accuracy of our model will of course be 99% but this classifier is of no use as it doesn’t detect any minority instance which is the main purpose of the classifier. This is why the data needs to be balanced first in order to train our classifiers. The balanced data can now be used to train our classification model. There are so many classification algorithms present, and each of them has their own pros and cons. So, in order to achieve higher accuracy and better results various individual classification algorithms including Naive Bayes, Decision Trees and Random Forests are used. After getting the results of the above mentioned classifiers, ensemble models have been applied that includes Voting Classifier, XGBoost and ADABoost. It is seen that the efficiency of ensemble classifiers in data classification is much higher than that of individual algorithms. © 2020 SERSC.","Class Imbalance; Ensemble Classifier; Machine Learning; Sampling","Science and Engineering Research Support Society"
"Santhi K., Rama Mohan Reddy A.","An integrated ensemble learning model for multi class imbalanced datasets classification",2020,"29","8 Special Issue",,"573","587",,,"Research Scholar, S V University College of Engineering, Tirupati, India; CSE Department, SVUCE, Tirupati, India","Santhi, K., Research Scholar, S V University College of Engineering, Tirupati, India; Rama Mohan Reddy, A., CSE Department, SVUCE, Tirupati, India","Due to arrival of big data era, many real world datasets generated from various data sources are not evenly distributed which create class imbalance problem. In spite of many years of research on imbalanced data, it is still one of the most challenging research problems in big data analytics, machine learning and data mining. Different techniques for binary class classification are relatively more and advanced nowadays, yet multi class classification problem is still an open research problem. This paper addresses multi class imbalance learning by proposing a hybrid ensemble algorithm which uses fuzzy relation strategy along with diversified error correcting output code to improve performance of the algorithm. Additionally this paper presents analysis of various algorithms along with proposed method on various datasets and we claim that proposed algorithm is a superior and reliable approach in terms of F-measure, G-mean and accuracy and AUC. © 2020 SERSC.","Big data; Imbalance data; Machine learning; Multi class imbalance","Science and Engineering Research Support Society"
"Pandey S.K., Mishra R.B., Tripathi A.K.","BPDET: An effective software bug prediction model using deep representation and ensemble learning techniques",2020,"144",,"113085","","",,"10.1016/j.eswa.2019.113085","Department of Computer Science and Engineering, Indian Institute of Technology (BHU), Varanasi, India","Pandey, S.K., Department of Computer Science and Engineering, Indian Institute of Technology (BHU), Varanasi, India; Mishra, R.B., Department of Computer Science and Engineering, Indian Institute of Technology (BHU), Varanasi, India; Tripathi, A.K., Department of Computer Science and Engineering, Indian Institute of Technology (BHU), Varanasi, India","In software fault prediction systems, there are many hindrances for detecting faulty modules, such as missing values or samples, data redundancy, irrelevance features, and correlation. Many researchers have built a software bug prediction (SBP) model, which classify faulty and non-faulty module which are associated with software metrics. Till now very few works has been done which addresses the class imbalance problem in SBP. The main objective of this paper is to reveal the favorable result by feature selection and machine learning methods to detect defective and non-defective software modules. We propose a rudimentary classification based framework Bug Prediction using Deep representation and Ensemble learning (BPDET) techniques for SBP. It combinedly applies by ensemble learning (EL) and deep representation(DR). The software metrics which are used for SBP are mostly conventional. Staked denoising auto-encoder (SDA) is used for the deep representation of software metrics, which is a robust feature learning method. Propose model is mainly divided into two stages: deep learning stage and two layers of EL stage (TEL). The extraction of the feature from SDA in the very first step of the model then applied TEL in the second stage. TEL is also dealing with the class imbalance problem. The experiment mainly performed NASA (12) datasets, to reveal the efficiency of DR, SDA, and TEL. The performance is analyzed in terms of Mathew co-relation coefficient (MCC), the area under the curve (AUC), precision-recall area (PRC), F-measure and Time. Out of 12 dataset MCC values over 11 datasets, ROC values over 6 datasets, PRC values overall 12 datasets and F-measure over 8 datasets surpass the existing state of the art bug prediction methods. We have tested BPDET using Wilcoxon rank sum test which rejects the null hypothesis at α = 0.025. We have also tested the stability of the model over 5, 8, 10, 12, and 15 fold cross-validation and got similar results. Finally, we conclude that BPDET is a stable and outperformed on most of the datasets compared with EL and another state of the art techniques. © 2019 Elsevier Ltd","Boosting; Classification technique; Deep representation; Heterogeneous Ensemble learning technique; Software bug prediction; Software metrics; Staked denoising auto-encoder","Elsevier Ltd"
"Hu Y., Zhao X., Wang S.","A Quantile K-means Bayes Approach to Classification for Imbalanced Data",2020,"782","4","042051","","",,"10.1088/1757-899X/782/4/042051","School of Automation, Beijing University of Posts and Telecommunication, Beijing, China","Hu, Y., School of Automation, Beijing University of Posts and Telecommunication, Beijing, China; Zhao, X., School of Automation, Beijing University of Posts and Telecommunication, Beijing, China; Wang, S., School of Automation, Beijing University of Posts and Telecommunication, Beijing, China","This paper focuses on the classification of imbalance data. In Machine Learning, a data set is imbalanced when the class proportions are highly skewed. A natural way of handling imbalanced data is to attempt to equalise the class frequencies and train the classifier of choice on balanced data. A new approach called Quantile K-means Bayes was proposed to solve the problem. The first focus is on a modified q-classifier. The second focus is on combine the k-means and Bayes algorithm using the data density. The proposed approach is evaluated by 101 benchmark data sets from KEEL collection. A comparison of the proposed approach and other conventional approaches is presented in terms of the G-mean. It can be seen that the proposed approach is able to acquire good performance among the other conventional approaches do. Therefore, this novel approach is an added value for the classification problem for imbalance data. © Published under licence by IOP Publishing Ltd.",,"Institute of Physics Publishing"
"Zhang T., Bhatia A., Pandya D., Sahinidis N.V., Cao Y., Flores-Cerrillo J.","Industrial text analytics for reliability with derivative-free optimization",2020,"135",,"106763","","",,"10.1016/j.compchemeng.2020.106763","Department of Chemical Engineering, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA  15213, United States; Smart Operations, Linde plc., Tonawanda, NY  14150, United States","Zhang, T., Department of Chemical Engineering, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA  15213, United States; Bhatia, A., Department of Chemical Engineering, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA  15213, United States; Pandya, D., Department of Chemical Engineering, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA  15213, United States; Sahinidis, N.V., Department of Chemical Engineering, Carnegie Mellon University, 5000 Forbes Ave, Pittsburgh, PA  15213, United States; Cao, Y., Smart Operations, Linde plc., Tonawanda, NY  14150, United States; Flores-Cerrillo, J., Smart Operations, Linde plc., Tonawanda, NY  14150, United States","Maintenance work order records provide valuable insights into chemical plants and production efficiency. These records are manually created in computerized management systems for routine and emergency maintenance. However, since the records are manually created, recording errors are not uncommon. The resulting datasets are additionally imbalanced, i.e., they have significantly more instances of certain classes than other minority classes. It is very challenging to use such datasets for classification and prediction of future events. In this paper, we propose a modeling framework that uses derivative-free optimization (DFO) to optimize the performance of classification models based on datasets that may be imbalanced. We apply our modeling framework to 15 real-world work order datasets. We also evaluate ten mixed-integer box-bounded DFO solvers for their ability to optimize machine learning models from industrial datasets. Compared to standard solutions, our results show dramatic improvements in the prediction accuracies of the models. © 2020 Elsevier Ltd","Data imbalance; Derivative-free optimization; Maintenance records; Text classification","Elsevier Ltd"
"Arya M., Sastry G H.","DEAL–‘Deep Ensemble ALgorithm’ Framework for Credit Card Fraud Detection in Real-Time Data Stream with Google TensorFlow",2020,"8","2",,"71","83",,"10.1080/23080477.2020.1783491","Research Scholar, School of Computer Science, University of Petroleum and Energy Studies, India; Department of CSE, Bhilai Institute of Technology, India; School of Computer Science, University of Petroleum and Energy Studies, India","Arya, M., Research Scholar, School of Computer Science, University of Petroleum and Energy Studies, India, Department of CSE, Bhilai Institute of Technology, India; Sastry G, H., School of Computer Science, University of Petroleum and Energy Studies, India","The state-of-the-art Credit Card Fraud Detection (CCFD) systems utilize supervised rule-based schemes to identify fraudulent behaviors in static data. Designing an efficient framework for CCFD is particularly challenging due to the imbalanced distribution of positive and negative classes in data. Conventional works overlook hidden transaction patterns and the performance evaluation methods of algorithm or system. The early models have also been criticized for over-fitting, i.e. models having less prediction accuracy than training or classification accuracy. However, the categorical accuracy is more important than overall accuracy for extremely imbalanced data; most of the previous works do not evaluate their model on the basis of categorical accuracy. In this work, we propose a predictive framework (DEAL) based on novel Deep Ensemble Learning for detecting fraudulent transaction in real-time data stream. The proposed framework is adaptive against data imbalance and robust against latent transaction patterns such as spending behavior. To build the model and predict the fraud, the transactions from real data from a major bank are passed as tensors to ensemble of Deep Learning Network. The adaptive optimization is suggested to minimize the objective function and improve fraud prediction. All Experiments are conducted in Python using scikit-learn, Google TensorFlow, and Keras Deep Learning libraries. The results demonstrate its superiority over state-of-the-art methods in catching frauds. © 2020, © 2020 Monika Arya and Hanumat Sastry G.","Credit Card Fraud Detection; Deep Learning; Ensemble Learning; Imbalanced Data Stream; Machine Learning; predictive modeling","Taylor and Francis Ltd."
"Elamrani Abou Elassad Z., Mousannif H., Al Moatassime H.","Class-imbalanced crash prediction based on real-time traffic and weather data: A driving simulator study",2020,"21","3",,"201","208",,"10.1080/15389588.2020.1723794","LISI Laboratory, Computer Science Department, FSSM, Cadi Ayyad University, Marrakesh, Morocco; OSER Research Team, Computer Science Department, FSTG, Cadi Ayyad University, Marrakesh, Morocco","Elamrani Abou Elassad, Z., LISI Laboratory, Computer Science Department, FSSM, Cadi Ayyad University, Marrakesh, Morocco; Mousannif, H., LISI Laboratory, Computer Science Department, FSSM, Cadi Ayyad University, Marrakesh, Morocco; Al Moatassime, H., OSER Research Team, Computer Science Department, FSTG, Cadi Ayyad University, Marrakesh, Morocco","Objective: Crash occurrence prediction has been of major importance in proactively improving traffic safety and reducing potential inconveniences to road users. Conventional statistical crash prediction models frequently suffer from severe data quality issues and require a significant amount of historical data. On the other hand, even though machine learning (ML) based algorithms have proven to be powerful in predicting future outcomes in different fields of applications, they likely fail to provide satisfactory results unless a tuning parameter approach is conducted. The main objective of this article is to develop real-time crash prediction models that will potentially be employed within traffic management systems. Methods: In this study, two highly optimized data-driven models for crash occurrence prediction have been designed based on the popular machine learning techniques, Support Vector Machine (SVM) and deep neural network Multilayer Perceptron (MLP). To ensure that the proposed algorithms produce robust and stable performance, the optimal scheme for models’ construction has been thoroughly examined and discussed. Additionally, the further boost of models’ performance requires the systemic assessment of crash strongest precursors within the driver-vehicle-environment triptych. Therefore, three categories of features, including driver input responses, vehicle kinematics and weather conditions, were measured during the execution of various driving tasks performed on a desktop driving simulator. Moreover, since crash events typically occur in rare instances tending to be underrepresented in the dataset, an imbalance-aware strategy to overcome the issue was adopted using the Synthetic Minority Oversampling TEchnique (SMOTE). Results: The results show that MLP exhibited the best performing prediction results, most particularly, in clear, overcast and snow conditions, in which MLP recall values were above 94%. Higher F1-score values were achieved in overcast and rain weather by MLP and snow conditions by SVM; whereas over 90% of G-mean levels were obtained under fog and rain conditions for MLP and snow condition for SVM. Conclusion: The findings provide new insights into crash events forecasting and may be used to promote enforcement efforts related to designing crash avoidance/warning systems that enhance the effectiveness of the system’s application based on driver input and vehicle kinematics under various weather conditions. © 2020, © 2020 Taylor & Francis Group, LLC.","Crash prediction; driving simulator; machine learning; multilayer perceptron; SMOTE; support vector machine","Taylor and Francis Inc."
"Soleymanpour S., Sadr H., Beheshti H.","An Efficient Deep Learning Method for Encrypted Traffic Classification on the Web",2020,,,"9122299","209","216",,"10.1109/ICWR49608.2020.9122299","Ayandegan Institute of Higher Education, Department of Computer Engineering, Tonekabon, Iran; Rasht Branch, Islamic Azad University, Department of Computer Engineering, Rasht, Iran","Soleymanpour, S., Ayandegan Institute of Higher Education, Department of Computer Engineering, Tonekabon, Iran; Sadr, H., Rasht Branch, Islamic Azad University, Department of Computer Engineering, Rasht, Iran; Beheshti, H., Ayandegan Institute of Higher Education, Department of Computer Engineering, Tonekabon, Iran","Traffic classification plays an important role in network management and cyber-security. With the development of the Internet, online applications and in the following encrypted techniques, encrypted traffic has changed to a major challenge for traffic classification. In fact, unbalanced data, in which the unbalanced distribution of samples across classes lead to the classification performance reduction, is considered as one of the prominent challenges in encrypted traffic classification. Although previous studies tried to deal with the class imbalance problem in the pre-processing step using machine learning and particularly deep learning models, they are still confronting with some limitations. In this regard, a new classification method is proposed in this paper that tries to deal with the problem of unbalanced data during the training process. The proposed method employs a cost-sensitive convolution neural network and considers a cost for each classification according to the distribution of classes. These costs are then applied to the network along the training process to enhance the overall accuracy. Based on the empirical results, the proposed model obtained higher classification performance (about 2% on average) compared to the Deep Packet method. © 2020 IEEE.","Convolutional Neural Network; Cost-Sensitive Learning; Deep Learning; Encrypted Traffic; Web Traffic Classification","Institute of Electrical and Electronics Engineers Inc."
"Liu Z., Cao W., Gao Z., Bian J., Chen H., Chang Y., Liu T.-Y.","Self-paced ensemble for highly imbalanced massive data classification",2020,"2020-April",,"9101851","841","852",,"10.1109/ICDE48307.2020.00078","Jilin University, School of Artificial Intelligence, Changchun, China; Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, China; Microsoft Research, Beijing, China","Liu, Z., Jilin University, School of Artificial Intelligence, Changchun, China, Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, China; Cao, W., Microsoft Research, Beijing, China; Gao, Z., Microsoft Research, Beijing, China; Bian, J., Microsoft Research, Beijing, China; Chen, H., Jilin University, School of Artificial Intelligence, Changchun, China, Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, China; Chang, Y., Jilin University, School of Artificial Intelligence, Changchun, China, Key Laboratory of Symbolic Computation and Knowledge Engineering of Ministry of Education, Jilin University, Changchun, China; Liu, T.-Y., Microsoft Research, Beijing, China","Many real-world applications reveal difficulties in learning classifiers from imbalanced data. The rising big data era has been witnessing more classification tasks with large-scale but extremely imbalance and low-quality datasets. Most of existing learning methods suffer from poor performance or low computation efficiency under such a scenario. To tackle this problem, we conduct deep investigations into the nature of class imbalance, which reveals that not only the disproportion between classes, but also other difficulties embedded in the nature of data, especially, noises and class overlapping, prevent us from learning effective classifiers. Taking those factors into consideration, we propose a novel framework for imbalance classification that aims to generate a strong ensemble by self-paced harmonizing data hardness via under-sampling. Extensive experiments have shown that this new framework, while being very computationally efficient, can lead to robust performance even under highly overlapping classes and extremely skewed distribution. Note that, our methods can be easily adapted to most of existing learning methods (e.g., C4.5, SVM, GBDT and Neural Network) to boost their performance on imbalanced data. © 2020 IEEE.","Data re-sampling; Ensemble learning; Imbalance classification; Imbalance learning","IEEE Computer Society"
"Xu L., Gholami S., Carthy S.M., Dilkina B., Plumptre A., Tambe M., Singh R., Nsubuga M., Mabonga J., Driciru M., Wanyama F., Rwetsiba A., Okello T., Enyel E.","Stay ahead of poachers: Illegal wildlife poaching prediction and patrol planning under uncertainty with field test evaluations (Short Version)",2020,"2020-April",,"9101618","1898","1901",,"10.1109/ICDE48307.2020.00198","Harvard University, United States; University of Southern California, United States; Key Biodiversity Area Secretariat; World Wide Fund for Nature; Wildlife Conservation Society, United States; Uganda Wildlife Authority","Xu, L., Harvard University, United States; Gholami, S., University of Southern California, United States; Carthy, S.M., University of Southern California, United States; Dilkina, B., University of Southern California, United States; Plumptre, A., Key Biodiversity Area Secretariat; Tambe, M., Harvard University, United States; Singh, R., World Wide Fund for Nature; Nsubuga, M., Wildlife Conservation Society, United States; Mabonga, J., Wildlife Conservation Society, United States; Driciru, M., Uganda Wildlife Authority; Wanyama, F., Uganda Wildlife Authority; Rwetsiba, A., Uganda Wildlife Authority; Okello, T., Uganda Wildlife Authority; Enyel, E., Uganda Wildlife Authority","Illegal wildlife poaching threatens ecosystems and drives endangered species toward extinction. However, efforts for wildlife protection are constrained by the limited resources of law enforcement agencies. To help combat poaching, the Protection Assistant for Wildlife Security (PAWS) is a machine learning pipeline that has been developed as a data-driven approach to identify areas at high risk of poaching throughout protected areas and compute optimal patrol routes. In this paper, we take an end-to-end approach to the data-to-deployment pipeline for anti-poaching. In doing so, we address challenges including extreme class imbalance (up to 1:200), bias, and uncertainty in wildlife poaching data to enhance PAWS, and we apply our methodology to three national parks with diverse characteristics. (i) We use Gaussian processes to quantify predictive uncertainty, which we exploit to improve robustness of our prescribed patrols and increase detection of snares by an average of 30%. We evaluate our approach on real-world historical poaching data from Murchison Falls and Queen Elizabeth National Parks in Uganda and, for the first time, Srepok Wildlife Sanctuary in Cambodia. (ii) We present the results of large-scale field tests conducted in Murchison Falls and Srepok Wildlife Sanctuary which confirm that the predictive power of PAWS extends promisingly to multiple parks. This paper is part of an effort to expand PAWS to 800 parks around the world through integration with SMART conservation software. © 2020 IEEE.","Data mining; Gaussian processes; Patrol route planning; Poaching; Predictive modeling; Uncertainty; Wildlife protection","IEEE Computer Society"
"Mohammed R., Rawashdeh J., Abdullah M.","Machine Learning with Oversampling and Undersampling Techniques: Overview Study and Experimental Results",2020,,,"9078901","243","248",,"10.1109/ICICS49469.2020.239556","Jordan University of Science and Technology, Irbid, Jordan","Mohammed, R., Jordan University of Science and Technology, Irbid, Jordan; Rawashdeh, J., Jordan University of Science and Technology, Irbid, Jordan; Abdullah, M., Jordan University of Science and Technology, Irbid, Jordan","Data imbalance in Machine Learning refers to an unequal distribution of classes within a dataset. This issue is encountered mostly in classification tasks in which the distribution of classes or labels in a given dataset is not uniform. The straightforward method to solve this problem is the resampling method by adding records to the minority class or deleting ones from the majority class. In this paper, we have experimented with the two resampling widely adopted techniques: oversampling and undersampling. In order to explore both techniques, we have chosen a public imbalanced dataset from kaggle website Santander Customer Transaction Prediction and have applied a group of well-known machine learning algorithms with different hyperparamters that give best results for both resampling techniques. One of the key findings of this paper is noticing that oversampling performs better than undersampling for different classifiers and obtains higher scores in different evaluation metrics. © 2020 IEEE.","Accuracy; Class Imbalance; Machine Learning; Naive Bayes; Oversampling; Precision; Random Forest; Recall; SVM; Undersampling","Institute of Electrical and Electronics Engineers Inc."
"Zhang H., Zhang H., Pirbhulal S., Wu W., Albuquerque V.H.C.D.","Active balancing mechanism for imbalanced medical data in deep learning-based classification models",2020,"16","1s","39","","",,"10.1145/3357253","Xiamen University of Technology, No. 600 Ligong Road, Jimei District, Xiamen, Fuijan Province, 361024, China; Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, 1068 Xueyuan Avenue, Shenzhen University Town, Shenzhen, 518055, China; Sun Yat-Sen University, No. 135 Xingang Xi Road, Guangzhou, 510275, China; University of Fortaleza, Fortaleza, Brazil","Zhang, H., Xiamen University of Technology, No. 600 Ligong Road, Jimei District, Xiamen, Fuijan Province, 361024, China; Zhang, H., Xiamen University of Technology, No. 600 Ligong Road, Jimei District, Xiamen, Fuijan Province, 361024, China; Pirbhulal, S., Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences, 1068 Xueyuan Avenue, Shenzhen University Town, Shenzhen, 518055, China; Wu, W., Sun Yat-Sen University, No. 135 Xingang Xi Road, Guangzhou, 510275, China; Albuquerque, V.H.C.D., University of Fortaleza, Fortaleza, Brazil","Imbalanced data always has a serious impact on a predictive model, and most under-sampling techniques consume more time and suffer from loss of samples containing critical information during imbalanced data processing, especially in the biomedical field. To solve these problems, we developed an active balancing mechanism (ABM) based on valuable information contained in the biomedical data. ABM adopts the Gaussian naïve Bayes method to estimate the object samples and entropy as a query function to evaluate sample information and only retains valuable samples of the majority class to achieve under-sampling. The Physikalisch Technische Bundesanstalt diagnostic electrocardiogram (ECG) database, including 5,173 normal ECG samples and 26,654 myocardial infarction ECG samples, is applied to verify the validity of ABM. At imbalance rates of 13 and 5, experimental results reveal that ABM takes 7.7 seconds and 13.2 seconds, respectively. Both results are significantly faster than five conventional under-sampling methods. In addition, at the imbalance rate of 13, ABM-based data obtained the highest accuracy of 92.23% and 97.52% using support vector machines and modified convolutional neural networks (MCNNs) with eight layers, respectively. At the imbalance rate of 5, the processed data by ABM also achieved the best accuracy of 92.31% and 98.46% based on support vector machines and MCNNs, respectively. Furthermore, ABM has better performance than two compared methods in F1-measure, G-means, and area under the curve. Consequently, ABM could be a useful and effective approach to deal with imbalanced data in general, particularly biomedical myocardial infarction ECG datasets, and the MCNN can also achieve higher performance compared to the state of the art. © 2020 ACM.","Biomedical; entropy; Gaussian naïve Bayes; imbalanced data; myocardial infarction","Association for Computing Machinery"
"Du H.-P., Shao L.-Z., Zhang D.-H.","ADHD classification based on a multi-objective support vector machine [基于多目标支持向量机的ADHD分类]",2020,"42","4",,"441","447",,"10.13374/j.issn2095-9389.2019.09.12.007","Key Laboratory of Knowledge Automation for Industrial Processes of Ministry of Education, School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, China","Du, H.-P., Key Laboratory of Knowledge Automation for Industrial Processes of Ministry of Education, School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, China; Shao, L.-Z., Key Laboratory of Knowledge Automation for Industrial Processes of Ministry of Education, School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, China; Zhang, D.-H., Key Laboratory of Knowledge Automation for Industrial Processes of Ministry of Education, School of Automation and Electrical Engineering, University of Science and Technology Beijing, Beijing, 100083, China","Attention deficit hyperactivity disorder (ADHD) is one of the most common mental disorders during childhood, which lasts until adulthood in most cases. In recent years, ADHD classification based on functional magnetic resonance imaging (fMRI) data has become a research hotspot. Most existing classification algorithms reported in the literature assume that samples are balanced; however, ADHD data sets are usually imbalanced. Imbalanced data sets can cause the performance degradation of a classifier by imbalanced learning, which tends to over focus on the majority class. In this study, we considered an imbalanced neuroimaging classification problem: classification of ADHD using resting state fMRI. We used the functional connection matrix of fMRI as the classification feature and proposed a multi-objective data classification scheme based on a support vector machine (SVM) to aid the diagnosis of ADHD. In this scheme, the imbalanced data classification problem is formulated as an SVM model with three objectives: maximizing the margin, minimizing the sum of positive errors, and minimizing the sum of negative errors. Accordingly, the positive and negative sample empirical errors can be separately handled. Then, the model is solved by a multi-objective optimization method, i.e., normal boundary intersection method. A set of representative classifiers are computed for selection by decision makers. The proposed scheme was tested and evaluated on five data sets from the ADHD-200 consortium and compared with traditional classification methods. Experimental results show that the proposed three-objective SVM classification scheme is better than traditional classification methods reported in the literature. It can effectively address the data imbalance problem from the algorithm level. This scheme can be used in the diagnosis of ADHD as well as other diseases, such as Alzheimer's and Autism. © All right reserved.","Attention deficit hyperactivity disorder; Functional magnetic resonance imaging; Imbalance data set; Multi-objective optimization; Support vector machine","Science Press"
"Khaldy M.A., Alauthman M., Al-Sanea M.S., Samara G.","Improve class prediction by balancing class distribution for diabetes dataset",2020,"9","4",,"823","827",,,"Al Khawarizmi University Technical College, Amman, Jordan; Department of Computer Science, Faculty of Information Technology, Zarqa University, Zarqa, Jordan; Computer and Information Science, Arab East Colleges, Riyadh, Saudi Arabia","Khaldy, M.A., Al Khawarizmi University Technical College, Amman, Jordan; Alauthman, M., Department of Computer Science, Faculty of Information Technology, Zarqa University, Zarqa, Jordan; Al-Sanea, M.S., Computer and Information Science, Arab East Colleges, Riyadh, Saudi Arabia; Samara, G., Department of Computer Science, Faculty of Information Technology, Zarqa University, Zarqa, Jordan","When using machine-learning algorithms to analyses clinical data, some challenges are facing this kind of data. One of the limitations of data is class imbalance because class imbalance could create a suboptimal performance of the classifier. The purpose of this article is to evaluate the influence of imbalance class on classification efficiency for multiple classification methods. In addition, we resample data by random replacement technique with replacement and without replacement to see how balancing data can improve the performance of classification techniques. The experiments show that resampling with imbalanced replacement class obtains a considerable boost in classification effectiveness for most of the learning algorithms used, but after resampling class, the Naive Bayes algorithm has not been improved. © IJSTR 2020.","Bagging; Imbalance class; Naive Bayes; Random forest; Resampling","International Journal of Scientific and Technology Research"
"Toor A.A., Usman M., Younas F., Fong A.C.M., Khan S.A., Fong S.","Mining massive e-health data streams for IoMT enabled healthcare systems",2020,"20","7","2131","","",,"10.3390/s20072131","Department of Computer Science, Shaheed Zulfikar Ali Bhutto Institute of Science and Technology, Islamabad, 44000, Pakistan; Department of Computing, Western Michigan University, Gladstone, MI  49837, United States; Department of Software Engineering, Foundation University Islamabad, Islambad, 44000, Pakistan; Department of Computer and Information Science, University of Macau, Macau, 999078, China","Toor, A.A., Department of Computer Science, Shaheed Zulfikar Ali Bhutto Institute of Science and Technology, Islamabad, 44000, Pakistan; Usman, M., Department of Computer Science, Shaheed Zulfikar Ali Bhutto Institute of Science and Technology, Islamabad, 44000, Pakistan; Younas, F., Department of Computer Science, Shaheed Zulfikar Ali Bhutto Institute of Science and Technology, Islamabad, 44000, Pakistan; Fong, A.C.M., Department of Computing, Western Michigan University, Gladstone, MI  49837, United States; Khan, S.A., Department of Software Engineering, Foundation University Islamabad, Islambad, 44000, Pakistan; Fong, S., Department of Computer and Information Science, University of Macau, Macau, 999078, China","With the increasing popularity of the Internet-of-Medical-Things (IoMT) and smart devices, huge volumes of data streams have been generated. This study aims to address the concept drift, which is a major challenge in the processing of voluminous data streams. Concept drift refers to overtime change in data distribution. It may occur in the medical domain, for example the medical sensors measuring for general healthcare or rehabilitation, which may switch their roles for ICU emergency operations when required. Detecting concept drifts becomes trickier when the class distributions in data are skewed, which is often true for medical sensors e-health data. Reactive Drift Detection Method (RDDM) is an efficient method for detecting long concepts. However, RDDM has a high error rate, and it does not handle class imbalance. We propose an Enhanced Reactive Drift Detection Method (ERDDM), which systematically generates strategies to handle concept drift with class imbalance in data streams. We conducted experiments to compare ERDDM with three contemporary techniques in terms of prediction error, drift detection delay, latency, and ability to handle data imbalance. The experimentation was done in Massive Online Analysis (MOA) on 48 synthetic datasets customized to possess the capabilities of data streams. ERDDM can handle abrupt and gradual drifts and performs better than all benchmarks in almost all experiments. © 2020 by the authors. Licensee MDPI, Basel, Switzerland.","Class imbalance; Concept drift; Data stream mining; Iomt; Machine learning","MDPI AG"
